objectid,filename,youtubeid,vimeoid,title,creator,date,location,format,latitude,longitude,source,subject
Hamlet_1900,,EOwJmMo2ggE,,Le Duel d'Hamlet,Clément Maurice,1900,France,MovingImage,46.232193,2.209667,Wikipedia - https://en.wikipedia.org/wiki/Hamlet_(1900_film),Hamlet;Silent;Short;Faithful/Direct;Drama/Tragedy;Sarah Bernhardt;Pierre Magnier;Suzanne Seylor
Hamlet_1907,,,,Hamlet (1907),Georges Méliès,1907,France,MovingImage,46.232193,2.209667,Wikipedia - https://en.wikipedia.org/wiki/Hamlet_(1907_film),Hamlet;Silent;Faithful/Direct;Drama/Tragedy;Georges Méliès
Hamlet_1908,,,,Hamlet (1908),Luca Comerio,1908,Italy,MovingImage,41.873988,12.564167,Wikipedia - https://en.wikipedia.org/wiki/Hamlet_(1908_film),Hamlet;Silent;Faithful/Direct;Drama/Tragedy
Hamlet_1910-1,,,,Hamlet (1910),William George Barker,1910,United Kingdom,MovingImage,54.633221,-3.432277,Wikipedia - https://en.wikipedia.org/wiki/Hamlet_on_screen,Hamlet;Silent;Faithful/Direct;Drama/Tragedy
Hamlet_1910-2,,,,Hamlet (1910),August Blom,1910,Denmark,MovingImage,56.155403,11.617223,Wikipedia - https://en.wikipedia.org/wiki/Hamlet_on_screen,Hamlet;Silent;Faithful/Direct;Drama/Tragedy;Alwin Neuß;Aage Hertel;Ella La Cour;Emilie Sannom;Einar Zangenberg;Oscar Langkilde
Hamlet_1910-3,,4HfkqpRcjQY,,Amleto,Mario Caserini,1910,Italy,MovingImage,41.873988,12.564167,IMDb - https://www.imdb.com/title/tt0001112/,Hamlet;Silent;Faithful/Direct;Drama/Tragedy;Dante Cappelli;Maria Caserini
Hamlet_1913,,pgmaqjnDhjY,,Hamlet (1913),E. Hay Plumb,1913,United Kingdom,MovingImage,54.633221,-3.432277,Wikipedia - https://en.wikipedia.org/wiki/Hamlet_(1913_film),Hamlet;Silent;Faithful/Direct;Drama/Tragedy;Johnston Forbes-Robertson;Gertrude Elliott;Walter Ringham;Adeleine Bourne;J.H. Barnes;S.A. Cookson;Alex Scott-Gatty
Hamlet_1917,,,,Hamlet (1917),Eleuterio Rodolfi,1917,Italy,MovingImage,41.873988,12.564167,Wikipedia - https://en.wikipedia.org/wiki/Hamlet_(1917_film),Hamlet;Silent;Faithful/Direct;Drama/Tragedy;Ruggero Ruggeri;Helena Makowska;Mercedes Brignone;Martelli
Hamlet_1921,,5fRZhB0qsc8,,Hamlet: The Drama of Vengeance,Svend Gade;Heinz Schall,1921,Germany,MovingImage,51.165707,10.452764,Wikipedia - https://en.wikipedia.org/wiki/Hamlet:_The_Drama_of_Vengeance,Hamlet;Silent;Faithful/Direct;Drama/Tragedy;Asta Nielsen;Paul Conradi;Mathilde Brandt;Eduard von Winterstein;Heinz Stieda;Hans Junkermann;Anton De Verdier
Hamlet_1935,,,,Khoon Ka Khoon,Sohrab Modi,1935,India,MovingImage,21.125681,82.794998,Wikipedia - https://en.wikipedia.org/wiki/Khoon_Ka_Khoon,Hamlet;Feature;Faithful/Direct;Drama/Tragedy;Sohrab Modi;Naseem Banu;Chamiyan Bai;Ghulam Hussain;Obali Mai;Fazal Karim;Eruch Tarapore;Ghulam Mohiyuddin
